TGA indicados,,,,,
name,year,goty,narrative,indie,family
Mario + Rabbids Kingdom Battle,2017,0,0,0,1
Sonic Mania,2017,0,0,0,1
Splatoon 2,2017,0,0,0,1
The Last of Us™ Part II,2020,2,2,0,0
Animal Crossing: New Horizons,2020,1,0,0,2
DOOM Eternal,2020,1,0,0,0
FINAL FANTASY VII REMAKE,2020,1,1,0,0
Ghost of Tsushima,2020,1,1,0,0
Hades,2020,1,1,2,0
13 Sentinels: Aegis Rim,2020,0,1,0,0
CARRION,2020,0,0,1,0
Fall Guys,2020,0,0,1,0
Spelunky 2,2020,0,0,1,0
Spiritfarer®,2020,0,0,1,0
Crash Bandicoot™ 4: It's About Time,2020,0,0,0,1
Mario Kart Live: Home Circuit,2020,0,0,0,1
Minecraft Dungeons,2020,0,0,0,1
Paper Mario: The Origami King,2020,0,0,0,1
Sekiro™: Shadows Die Twice,2019,2,0,0,0
Control,2019,1,1,0,0
DEATH STRANDING,2019,1,1,0,0
The Outer Worlds,2019,1,1,0,0
Resident Evil 2,2019,1,0,0,0
Super Smash Bros. Ultimate,2019,1,0,0,1
Disco Elysium,2019,0,2,2,0
A Plague Tale: Innocence,2019,0,1,0,0
Baba Is You,2019,0,0,1,0
Katana ZERO,2019,0,0,1,0
Outer Wilds,2019,0,0,1,0
Untitled Goose Game,2019,0,0,1,0
Luigi's Mansion 3,2019,0,0,0,2
Ring Fit Adventure,2019,0,0,0,1
Super Mario Maker 2,2019,0,0,0,1
Yoshi's Crafted World,2019,0,0,0,1
God of War,2018,2,1,0,0
Assassin's Creed® Odyssey,2018,1,0,0,0
Celeste,2018,1,0,2,0
Marvel’s Spider-Man,2018,1,1,0,0
Monster Hunter: World,2018,1,0,0,0
Red Dead Redemption 2,2018,1,2,0,0
Detroit: Become Human,2018,0,1,0,0
Life is Strange 2,2018,0,1,0,0
Dead Cells,2018,0,0,1,0
Into the Breach,2018,0,0,1,0
Return of the Obra Dinn,2018,0,0,1,0
The Messenger,2018,0,0,1,0
Overcooked! 2,2018,0,0,0,2
Mario Tennis Aces,2018,0,0,0,1
Nintendo Labo,2018,0,0,0,1
Starlink: Battle for Atlas,2018,0,0,0,1
Super Mario Party,2018,0,0,0,1
Clair Obscur: Expedition 33,2025,1,1,1,0
Death Stranding 2: On the Beach,2025,1,1,0,0
Donkey Kong Bananza,2025,1,0,0,1
Hades II,2025,1,0,1,0
Hollow Knight: Silksong,2025,1,0,1,0
Kingdom Come: Deliverance II,2025,1,1,0,0
Ghost of Yōtei,2025,0,1,0,0
Silent Hill f,2025,0,1,0,0
Blue Prince,2025,0,0,1,0
BALL X PIT,2025,0,0,1,0
Absolum,2025,0,0,1,0
Lego Party,2025,0,0,0,1
Lego Voyagers,2025,0,0,0,1
Mario Kart World,2025,0,0,0,1
Sonic Racing: CrossWorlds,2025,0,0,0,1
Split Fiction,2025,0,0,0,1
